Name,Date of birth,Nationality,Team,League
Thibaut Courtois,1992-05-11,Belgium,Real Madrid,LaLiga
Andriy Lunin,1999-02-11,Ukraine,Real Madrid,LaLiga
Éder Militão,1998-01-18,Brazil,Real Madrid,LaLiga
David Alaba,1992-06-24,Austria,Real Madrid,LaLiga
Antonio Rüdiger,1993-03-03,Germany,Real Madrid,LaLiga
Nacho Fernández,1990-01-18,Spain,Real Madrid,LaLiga
Ferland Mendy,1995-06-08,France,Real Madrid,LaLiga
Fran García,1999-08-14,Spain,Real Madrid,LaLiga
Daniel Carvajal,1992-01-11,Spain,Real Madrid,LaLiga
Lucas Vázquez,1991-07-01,Spain,Real Madrid,LaLiga
Álvaro Odriozola,1995-12-14,Spain,Real Madrid,LaLiga
Aurélien Tchouaméni,2000-01-27,France,Real Madrid,LaLiga
Jude Bellingham,2003-06-29,England,Real Madrid,LaLiga
Federico Valverde,1998-07-22,Uruguay,Real Madrid,LaLiga
Eduardo Camavinga,2002-11-10,France,Real Madrid,LaLiga
Toni Kroos,1990-01-04,Germany,Real Madrid,LaLiga
Dani Ceballos,1996-08-07,Spain,Real Madrid,LaLiga
Luka Modric,1985-09-09,Croatia,Real Madrid,LaLiga
Brahim Díaz,1999-08-03,Spain,Real Madrid,LaLiga
Arda Güler,2005-02-25,Turkey,Real Madrid,LaLiga
Reinier,2002-01-19,Brazil,Real Madrid,LaLiga
Vinicius Junior,2000-07-12,Brazil,Real Madrid,LaLiga
Rodrygo,2001-01-09,Brazil,Real Madrid,LaLiga
Joselu,1990-03-27,Spain,Real Madrid,LaLiga
Marc-André ter Stegen,1992-04-30,Germany,FC Barcelona,LaLiga
Iñaki Peña,1999-03-02,Spain,FC Barcelona,LaLiga
Ronald Araújo,1999-03-07,Uruguay,FC Barcelona,LaLiga
Jules Koundé,1998-11-12,France,FC Barcelona,LaLiga
Andreas Christensen,1996-04-10,Denmark,FC Barcelona,LaLiga
Iñigo Martínez,1991-05-17,Spain,FC Barcelona,LaLiga
Clément Lenglet,1995-06-17,France,FC Barcelona,LaLiga
Eric García,2001-01-09,Spain,FC Barcelona,LaLiga
Alejandro Balde,2003-10-18,Spain,FC Barcelona,LaLiga
Marcos Alonso,1990-12-28,Spain,FC Barcelona,LaLiga
Sergiño Dest,2000-11-03,United States,FC Barcelona,LaLiga
Sergi Roberto,1992-02-07,Spain,FC Barcelona,LaLiga
Oriol Romeu,1991-09-24,Spain,FC Barcelona,LaLiga
Pedri,2002-11-25,Spain,FC Barcelona,LaLiga
Gavi,2004-08-05,Spain,FC Barcelona,LaLiga
Frenkie de Jong,1997-05-12,Netherlands,FC Barcelona,LaLiga
Franck Kessié,1996-12-19,Cote d'Ivoire,FC Barcelona,LaLiga
Ilkay Gündogan,1990-10-24,Germany,FC Barcelona,LaLiga
Ansu Fati,2002-10-31,Spain,FC Barcelona,LaLiga
Abde Ezzalzouli,2001-12-17,Morocco,FC Barcelona,LaLiga
Ousmane Dembélé,1997-05-15,France,FC Barcelona,LaLiga
Raphinha,1996-12-14,Brazil,FC Barcelona,LaLiga
Ferran Torres,2000-02-29,Spain,FC Barcelona,LaLiga
Robert Lewandowski,1988-08-21,Poland,FC Barcelona,LaLiga
Jan Oblak,1993-01-07,Slovenia,Atlético de Madrid,LaLiga
Ivo Grbic,1996-01-18,Croatia,Atlético de Madrid,LaLiga
José María Giménez,1995-01-20,Uruguay,Atlético de Madrid,LaLiga
Mario Hermoso,1995-06-18,Spain,Atlético de Madrid,LaLiga
Caglar Söyüncü,1996-05-23,Turkey,Atlético de Madrid,LaLiga
Stefan Savic,1991-01-08,Montenegro,Atlético de Madrid,LaLiga
Santiago Mouriño,2002-02-13,Uruguay,Atlético de Madrid,LaLiga
Reinildo Mandava,1994-01-21,Mozambique,Atlético de Madrid,LaLiga
Javi Galán,1994-11-19,Spain,Atlético de Madrid,LaLiga
Nahuel Molina,1998-04-06,Argentina,Atlético de Madrid,LaLiga
César Azpilicueta,1989-08-28,Spain,Atlético de Madrid,LaLiga
Axel Witsel,1989-01-12,Belgium,Atlético de Madrid,LaLiga
Rodrigo de Paul,1994-05-24,Argentina,Atlético de Madrid,LaLiga
Marcos Llorente,1995-01-30,Spain,Atlético de Madrid,LaLiga
Koke,1992-01-08,Spain,Atlético de Madrid,LaLiga
Saúl Ñíguez,1994-11-21,Spain,Atlético de Madrid,LaLiga
Pablo Barrios,2003-06-15,Spain,Atlético de Madrid,LaLiga
Thomas Lemar,1995-11-12,France,Atlético de Madrid,LaLiga
Yannick Carrasco,1993-09-04,Belgium,Atlético de Madrid,LaLiga
Samuel Lino,1999-12-23,Brazil,Atlético de Madrid,LaLiga
Rodrigo Riquelme,2000-04-02,Spain,Atlético de Madrid,LaLiga
Vitolo,1989-11-02,Spain,Atlético de Madrid,LaLiga
Ángel Correa,1995-03-09,Argentina,Atlético de Madrid,LaLiga
Víctor Mollejo,2001-01-21,Spain,Atlético de Madrid,LaLiga
João Félix,1999-11-10,Portugal,Atlético de Madrid,LaLiga
Antoine Griezmann,1991-03-21,France,Atlético de Madrid,LaLiga
Álvaro Morata,1992-10-23,Spain,Atlético de Madrid,LaLiga
Memphis Depay,1994-02-13,Netherlands,Atlético de Madrid,LaLiga
Sergio Camello,2001-02-10,Spain,Atlético de Madrid,LaLiga
Borja Garcés,1999-08-06,Spain,Atlético de Madrid,LaLiga
Álex Remiro,1995-03-24,Spain,Real Sociedad,LaLiga
Unai Marrero,2001-10-09,Spain,Real Sociedad,LaLiga
Robin Le Normand,1996-11-11,Spain,Real Sociedad,LaLiga
Igor Zubeldia,1997-03-30,Spain,Real Sociedad,LaLiga
Aritz Elustondo,1994-03-28,Spain,Real Sociedad,LaLiga
Jon Pacheco,2001-01-08,Spain,Real Sociedad,LaLiga
Aihen Muñoz,1997-08-16,Spain,Real Sociedad,LaLiga
Diego Rico,1993-02-23,Spain,Real Sociedad,LaLiga
Hamari Traoré,1992-01-27,Mali,Real Sociedad,LaLiga
Andoni Gorosabel,1996-08-04,Spain,Real Sociedad,LaLiga
Álex Sola,1999-06-09,Spain,Real Sociedad,LaLiga
Martín Zubimendi,1999-02-02,Spain,Real Sociedad,LaLiga
Peter Pokorny,2001-08-08,Slovakia,Real Sociedad,LaLiga
Mikel Merino,1996-06-22,Spain,Real Sociedad,LaLiga
Beñat Turrientes,2002-01-31,Spain,Real Sociedad,LaLiga
Jon Ander Olasagasti,2000-08-16,Spain,Real Sociedad,LaLiga
Brais Méndez,1997-01-07,Spain,Real Sociedad,LaLiga
Robert Navarro,2002-04-12,Spain,Real Sociedad,LaLiga
Pablo Marín,2003-07-03,Spain,Real Sociedad,LaLiga
Mikel Oyarzabal,1997-04-21,Spain,Real Sociedad,LaLiga
Ander Barrenetxea,2001-12-27,Spain,Real Sociedad,LaLiga
Martín Merquelanz,1995-06-12,Spain,Real Sociedad,LaLiga
Takefusa Kubo,2001-06-04,Japan,Real Sociedad,LaLiga
Umar Sadiq,1997-02-02,Nigeria,Real Sociedad,LaLiga
Mohamed-Ali Cho,2004-01-19,France,Real Sociedad,LaLiga
Jon Karrikaburu,2002-09-19,Spain,Real Sociedad,LaLiga
Carlos Fernández,1996-05-22,Spain,Real Sociedad,LaLiga
Rui Silva,1994-02-07,Portugal,Real Betis Balompié,LaLiga
Claudio Bravo,1983-04-13,Chile,Real Betis Balompié,LaLiga
Luiz Felipe,1997-03-22,Italy,Real Betis Balompié,LaLiga
Germán Pezzella,1991-06-27,Argentina,Real Betis Balompié,LaLiga
Marc Bartra,1991-01-15,Spain,Real Betis Balompié,LaLiga
Chadi Riad,2003-06-17,Morocco,Real Betis Balompié,LaLiga
Juan Miranda,2000-01-19,Spain,Real Betis Balompié,LaLiga
Abner,2000-05-27,Brazil,Real Betis Balompié,LaLiga
Héctor Bellerín,1995-03-19,Spain,Real Betis Balompié,LaLiga
Youssouf Sabaly,1993-03-05,Senegal,Real Betis Balompié,LaLiga
Martín Montoya,1991-04-14,Spain,Real Betis Balompié,LaLiga
Guido Rodríguez,1994-04-12,Argentina,Real Betis Balompié,LaLiga
William Carvalho,1992-04-07,Portugal,Real Betis Balompié,LaLiga
Marc Roca,1996-11-26,Spain,Real Betis Balompié,LaLiga
Paul Akouokou,1997-12-20,Cote d'Ivoire,Real Betis Balompié,LaLiga
Andrés Guardado,1986-09-28,Mexico,Real Betis Balompié,LaLiga
Nabil Fekir,1993-07-18,France,Real Betis Balompié,LaLiga
Rodri Sánchez,2000-05-16,Spain,Real Betis Balompié,LaLiga
Isco,1992-04-21,Spain,Real Betis Balompié,LaLiga
Juanmi,1993-05-20,Spain,Real Betis Balompié,LaLiga
Ayoze Pérez,1993-07-29,Spain,Real Betis Balompié,LaLiga
Luiz Henrique,2001-01-02,Brazil,Real Betis Balompié,LaLiga
Aitor Ruibal,1996-03-22,Spain,Real Betis Balompié,LaLiga
Juan Cruz,2000-04-25,Spain,Real Betis Balompié,LaLiga
Borja Iglesias,1993-01-17,Spain,Real Betis Balompié,LaLiga
Willian José,1991-11-23,Brazil,Real Betis Balompié,LaLiga
Raúl García,2000-11-03,Spain,Real Betis Balompié,LaLiga
Unai Simón,1997-06-11,Spain,Athletic Bilbao,LaLiga
Julen Agirrezabala,2000-12-26,Spain,Athletic Bilbao,LaLiga
Yeray Álvarez,1995-01-24,Spain,Athletic Bilbao,LaLiga
Dani Vivian,1999-07-05,Spain,Athletic Bilbao,LaLiga
Aitor Paredes,2000-04-29,Spain,Athletic Bilbao,LaLiga
Yuri Berchiche,1990-02-10,Spain,Athletic Bilbao,LaLiga
Imanol García de Albéniz,2000-06-08,Spain,Athletic Bilbao,LaLiga
Iñigo Lekue,1993-05-04,Spain,Athletic Bilbao,LaLiga
Óscar de Marcos,1989-04-14,Spain,Athletic Bilbao,LaLiga
Mikel Vesga,1993-04-08,Spain,Athletic Bilbao,LaLiga
Peru Nolaskoain,1998-10-25,Spain,Athletic Bilbao,LaLiga
Unai Vencedor,2000-11-15,Spain,Athletic Bilbao,LaLiga
Iñigo Ruiz de Galarreta,1993-08-06,Spain,Athletic Bilbao,LaLiga
